note;sound;sound_group
27;High Q;High Q
28;Slap;Slap
29;Scratch Push;Scratch
30;Scratch Pull;Scratch
31;Sticks;Stick
32;Square Click;Square
33;Metronome Click;Metronome
34;Metronome Bell;Metronome
35;Bass Drum 2;Drum
36;Bass Drum 1;Drum
37;Side Stick;Side Stick
38;Snare Drum 1;Snare
39;Hand Clap;Hand clap
40;Snare Drum 2;Snare
41;Low Tom 2;Tom
42;Closed Hi-hat;HiHat
43;Low Tom 1;Tom
44;Pedal Hi-hat;HiHat
45;Mid Tom 2;Tom
46;Open Hi-hat;Open HiHat
47;Mid Tom 1;Tom
48;High Tom 2;Tom
49;Crash Cymbal 1;crash
50;High Tom 1;Tom
51;Ride Cymbal 1;ride
52;Chinese Cymbal;Cynbal
53;Ride Bell;ride
54;Tambourine;Tambourine
55;Splash Cymbal;Cynbal
56;Cowbell;Cencerro
57;Crash Cymbal 2;Cynbal
58;Vibra Slap;Vibra Slap
59;Ride Cymbal 2;ride
60;High Bongo;Bongo
61;Low Bongo;Bongo
62;Mute High Conga;Conga
63;Open High Conga;Conga
64;Low Conga;Conga
65;High Timbale;Timbale
66;Low Timbale;Timbale
67;High Agogo;Agogo
68;Low Agogo;Agogo
69;Cabasa;Cabasa
70;Maracas;Maracas
71;Short Whistle;Whistle
72;Long Whistle;Whistle
73;Short Guiro;Guiro
74;Long Guiro;Guiro
75;Claves;Claves
76;High Wood Block;Block
77;Low Wood Block;Block
78;Mute Cuica;Cuica
79;Open Cuica;Cuica
80;Mute Triangle;Triangle
81;Open Triangle;Triangle
82;Shaker;Shaker
83;Jingle Bell;Jingle bell
84;Belltree;Beltree
85;Castanets;Castanets
86;Mute Surdo;Surdo
87;Open Surdo;Surdo
